2025-03-24 14:07:54,036 [INFO] - 🔁 [XRPUSDT] ➤ Цена: 3.10 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:54,485 [INFO] - 🔁 [LINKUSDT] ➤ Цена: 11.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:54,505 [INFO] - 🔁 [LTCUSDT] ➤ Цена: 91.06 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:55,036 [INFO] - 🔁 [ADAUSDT] ➤ Цена: 0.83 | Объём: 44040.28 | Сигнал: HOLD
2025-03-24 14:07:55,096 [INFO] - 🔁 [NEARUSDT] ➤ Цена: 2.75 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:55,141 [INFO] - 🔁 [ETHUSDT] ➤ Цена: 2251.47 | Объём: 37580.42 | Сигнал: HOLD
2025-03-24 14:07:55,146 [INFO] - 🔁 [BNBUSDT] ➤ Цена: 621.83 | Объём: 139.55 | Сигнал: HOLD
2025-03-24 14:07:55,159 [INFO] - 🔁 [MATICUSDT] ➤ Цена: 0.40 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:55,191 [INFO] - 🔁 [BTCUSDT] ➤ Цена: 95525.31 | Объём: 66.50 | Сигнал: HOLD
2025-03-24 14:07:55,236 [INFO] - 🔁 [ARBUSDT] ➤ Цена: 3.29 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:55,274 [INFO] - 🔁 [DOTUSDT] ➤ Цена: 4.81 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:55,276 [INFO] - 🔁 [AVAXUSDT] ➤ Цена: 26.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:55,290 [INFO] - 🔁 [SOLUSDT] ➤ Цена: 152.51 | Объём: 24.23 | Сигнал: HOLD
2025-03-24 14:07:55,624 [INFO] - 🔁 [LINKUSDT] ➤ Цена: 11.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:55,683 [INFO] - 🔁 [LTCUSDT] ➤ Цена: 91.06 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:55,989 [INFO] - 🔁 [MATICUSDT] ➤ Цена: 0.40 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,196 [INFO] - 🔁 [ADAUSDT] ➤ Цена: 0.83 | Объём: 43964.90 | Сигнал: HOLD
2025-03-24 14:07:56,406 [INFO] - 🔁 [RUNEUSDT] ➤ Цена: 5.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,408 [INFO] - 🔁 [AVAXUSDT] ➤ Цена: 26.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,412 [INFO] - 🔁 [ETHUSDT] ➤ Цена: 2251.47 | Объём: 37580.42 | Сигнал: HOLD
2025-03-24 14:07:56,477 [INFO] - 🔁 [OPUSDT] ➤ Цена: 10.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,488 [INFO] - 🔁 [DOTUSDT] ➤ Цена: 4.81 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,545 [INFO] - 🔁 [APTUSDT] ➤ Цена: 12.24 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,548 [INFO] - 🔁 [SOLUSDT] ➤ Цена: 152.51 | Объём: 24.23 | Сигнал: HOLD
2025-03-24 14:07:56,558 [INFO] - 🔁 [BNBUSDT] ➤ Цена: 621.83 | Объём: 139.55 | Сигнал: HOLD
2025-03-24 14:07:56,558 [INFO] - 🔁 [TONUSDT] ➤ Цена: 3.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,595 [INFO] - 🔁 [NEARUSDT] ➤ Цена: 2.75 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,641 [INFO] - 🔁 [ARBUSDT] ➤ Цена: 3.29 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,653 [INFO] - 🔁 [XRPUSDT] ➤ Цена: 3.10 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,673 [INFO] - 🔁 [MATICUSDT] ➤ Цена: 0.40 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,796 [INFO] - 🔁 [AVAXUSDT] ➤ Цена: 26.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,801 [INFO] - 🔁 [ADAUSDT] ➤ Цена: 0.83 | Объём: 43964.90 | Сигнал: HOLD
2025-03-24 14:07:56,837 [INFO] - 🔁 [LTCUSDT] ➤ Цена: 91.06 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,965 [INFO] - 🔁 [LINKUSDT] ➤ Цена: 11.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:56,970 [INFO] - 🔁 [ETHUSDT] ➤ Цена: 2251.47 | Объём: 37580.42 | Сигнал: HOLD
2025-03-24 14:07:57,013 [INFO] - 🔁 [OPUSDT] ➤ Цена: 10.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,056 [INFO] - 🔁 [APTUSDT] ➤ Цена: 12.24 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,064 [INFO] - 🔁 [SOLUSDT] ➤ Цена: 152.51 | Объём: 24.23 | Сигнал: HOLD
2025-03-24 14:07:57,204 [INFO] - 🔁 [TONUSDT] ➤ Цена: 3.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,215 [INFO] - 🔁 [NEARUSDT] ➤ Цена: 2.75 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,273 [INFO] - 🔁 [ARBUSDT] ➤ Цена: 3.29 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,437 [INFO] - 🔁 [BNBUSDT] ➤ Цена: 621.83 | Объём: 139.55 | Сигнал: HOLD
2025-03-24 14:07:57,492 [INFO] - 🔁 [DOTUSDT] ➤ Цена: 4.81 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,518 [INFO] - 🔁 [XRPUSDT] ➤ Цена: 3.10 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,557 [INFO] - 🔁 [DOGEUSDT] ➤ Цена: 0.31 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,598 [INFO] - 🔁 [AVAXUSDT] ➤ Цена: 26.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,640 [INFO] - 🔁 [BTCUSDT] ➤ Цена: 95525.31 | Объём: 66.50 | Сигнал: HOLD
2025-03-24 14:07:57,666 [INFO] - 🔁 [LTCUSDT] ➤ Цена: 91.06 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,673 [INFO] - 🔁 [LINKUSDT] ➤ Цена: 11.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,677 [INFO] - 🔁 [MATICUSDT] ➤ Цена: 0.40 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,679 [INFO] - 🔁 [ADAUSDT] ➤ Цена: 0.83 | Объём: 43964.90 | Сигнал: HOLD
2025-03-24 14:07:57,695 [INFO] - 🔁 [ETHUSDT] ➤ Цена: 2251.47 | Объём: 37580.42 | Сигнал: HOLD
2025-03-24 14:07:57,763 [INFO] - 🔁 [OPUSDT] ➤ Цена: 10.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,836 [INFO] - 🔁 [APTUSDT] ➤ Цена: 12.24 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,842 [INFO] - 🔁 [SOLUSDT] ➤ Цена: 152.51 | Объём: 24.23 | Сигнал: HOLD
2025-03-24 14:07:57,915 [INFO] - 🔁 [TONUSDT] ➤ Цена: 3.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,947 [INFO] - 🔁 [ARBUSDT] ➤ Цена: 3.29 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:57,999 [INFO] - 🔁 [NEARUSDT] ➤ Цена: 2.75 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:58,017 [INFO] - 🔁 [BNBUSDT] ➤ Цена: 621.83 | Объём: 139.55 | Сигнал: HOLD
2025-03-24 14:07:58,069 [INFO] - 🔁 [XRPUSDT] ➤ Цена: 3.10 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:58,151 [INFO] - 🔁 [LINKUSDT] ➤ Цена: 11.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:58,177 [INFO] - 🔁 [LTCUSDT] ➤ Цена: 91.06 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:58,363 [INFO] - 🔁 [ARBUSDT] ➤ Цена: 3.29 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:58,416 [INFO] - 🔁 [AVAXUSDT] ➤ Цена: 26.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:58,440 [INFO] - 🔁 [ETHUSDT] ➤ Цена: 2251.47 | Объём: 37580.42 | Сигнал: HOLD
2025-03-24 14:07:58,460 [INFO] - 🔁 [MATICUSDT] ➤ Цена: 0.40 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:58,538 [INFO] - 🔁 [TONUSDT] ➤ Цена: 3.00 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:58,548 [INFO] - 🔁 [ADAUSDT] ➤ Цена: 0.83 | Объём: 43964.90 | Сигнал: HOLD
2025-03-24 14:07:58,551 [INFO] - 🔁 [DOTUSDT] ➤ Цена: 4.81 | Объём: 0.00 | Сигнал: HOLD
2025-03-24 14:07:58,555 [INFO] - 🔁 [SOLUSDT] ➤ Цена: 152.51 | Объём: 24.23 | Сигнал: HOLD
