timestamp,open,high,low,close,volume,turnover
2025-03-23 10:00:00,84279.2,84469,84265.6,84468.9,617.228,52065936.4567
2025-03-23 09:00:00,84300,84326,84272.5,84279.2,501.183,42249351.2119
2025-03-23 08:00:00,84230.1,84308.5,84218.4,84300.0,766.488,64595731.3178
2025-03-23 07:00:00,84193.1,84290.6,84159.5,84230.1,765.819,64514696.8487
2025-03-23 06:00:00,84189.6,84244.8,84146.1,84193.1,389.385,32786129.8436
2025-03-23 05:00:00,84070,84204,84054.2,84189.6,338.059,28438717.9929
2025-03-23 04:00:00,84198.6,84198.6,84023.4,84070.0,561.3,47188822.216
2025-03-23 03:00:00,84196.5,84203.9,84096.6,84198.6,542.945,45690381.7446
2025-03-23 02:00:00,84029.4,84257.5,83944.8,84196.5,980.068,82447466.3742
2025-03-23 01:00:00,83958.1,84095.7,83931.3,84029.4,732.246,61532320.574
2025-03-23 00:00:00,83805.9,84000,83753.2,83958.1,1070.561,89830316.4408
2025-03-22 23:00:00,83910.1,83914.2,83616,83805.9,1726.64,144624188.8629
2025-03-22 22:00:00,83974.3,84023.9,83903.9,83910.1,693.243,58209526.054
2025-03-22 21:00:00,83904,84057.6,83801.1,83974.3,1347.361,113081629.3695
2025-03-22 20:00:00,84130.9,84170,83904,83904.0,1120.587,94188328.422
2025-03-22 19:00:00,84194.5,84236.7,84119.2,84130.9,390.343,32855120.5837
2025-03-22 18:00:00,84189.8,84279.5,84151,84194.5,930.75,78382862.1965
2025-03-22 17:00:00,84092.5,84217.2,84073.6,84189.8,680.817,57289024.1389
2025-03-22 16:00:00,84067.1,84110.1,84017.6,84092.5,573.801,48238434.1259
2025-03-22 15:00:00,83966.7,84090,83932.5,84067.1,1093.341,91838216.5009
2025-03-22 14:00:00,84128.9,84171.7,83957.1,83966.7,937.757,78812616.0494
2025-03-22 13:00:00,84184.7,84200,84000,84128.9,1016.511,85478610.0232
2025-03-22 12:00:00,84193.9,84259,84142.3,84184.7,603.821,50841500.802
2025-03-22 11:00:00,84367,84375.5,84168,84193.9,990.424,83440482.8222
2025-03-22 10:00:00,84313.5,84398.5,84309.2,84367.0,531.89,44866471.5404
2025-03-22 09:00:00,84180.6,84500,84180.6,84313.5,1500.804,126625407.2166
2025-03-22 08:00:00,84238.2,84244.6,84078.8,84180.6,703.943,59251715.3781
2025-03-22 07:00:00,84296.7,84350,84180.7,84238.2,433.158,36502950.7799
2025-03-22 06:00:00,84289.1,84365.4,84120.9,84296.7,878.409,74001927.5664
2025-03-22 05:00:00,84321.4,84388.7,84209.2,84289.1,810.343,68314295.4918
2025-03-22 04:00:00,84214.1,84350,84163.7,84321.4,691.177,58236526.686
2025-03-22 03:00:00,84142.5,84260,84092.1,84214.1,520.155,43788629.0281
2025-03-22 02:00:00,84027.3,84200,83968.8,84142.5,646.956,54413954.3005
2025-03-22 01:00:00,84147.3,84287.4,83950.8,84027.3,937.051,78802940.427
2025-03-22 00:00:00,84054.6,84215.1,84015.3,84147.3,1145.111,96310251.1414
2025-03-21 23:00:00,84140.5,84189.8,84002.8,84054.6,802.91,67507262.6489
2025-03-21 22:00:00,84358.2,84374.1,84062.9,84140.5,1149.144,96736851.2479
2025-03-21 21:00:00,84172.1,84567.3,84129.4,84358.2,2416.696,203887785.3178
2025-03-21 20:00:00,83921,84211.2,83771.8,84172.1,1288.238,108225334.8334
2025-03-21 19:00:00,84058.6,84165.6,83742.6,83921.0,2699.631,226595441.9057
2025-03-21 18:00:00,83981,84431.5,83865.1,84058.6,3158.225,265830470.1611
2025-03-21 17:00:00,84068.2,84112.3,83666.7,83981.0,2148.484,180320656.8819
